u1,u2,q1d,q1,q2d,q2,dq1d,dq1,dq2d,dq2,ddq1d,ddq1,ddq2d,ddq2
-62,68,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
-63,68,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
-64,68,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
-65,72,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
-66,72,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
-67,72,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
-68,73,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
-69,73,82,88.65,15,-6.45,0,15,0,15,0,0,0,0
-76,77,81,88.65,15,-6.45,0,15,0,15,0,0,0,0
-78,77,81,88.65,15,-6.45,0,15,0,15,0,0,0,0
-79,77,81,88.65,15,-6.45,0,15,0,15,0,0,0,0
-78,77,81,88.5,15,-6.45,0,-15,0,15,0,-3000,0,0
-80,77,81,88.5,15,-6.3,0,-15,0,15,0,0,0,0
-79,77,81,88.35,15,-6.3,0,-15,0,15,0,0,0,0
-79,82,81,88.2,15,-6.3,0,-15,0,15,0,0,0,0
-79,81,81,88.05,15,-6.15,0,-15,0,15,0,0,0,0
-77,81,81,87.75,15,-6,0,-15,0,15,0,0,0,0
-75,81,81,87.45,15,-5.85,0,-15,0,15,0,0,0,0
-73,80,81,87.15,15,-5.7,0,-15,0,15,0,0,0,0
-70,80,81,86.7,15,-5.55,0,-15,0,15,0,0,0,0
-66,83,81,86.25,15,-5.25,0,-15,0,15,0,0,0,0
-62,83,81,85.8,15,-5.1,0,-15,0,15,0,0,0,0
-57,82,81,85.2,15,-4.8,0,-15,0,15,0,0,0,0
-52,81,81,84.6,15,-4.5,0,-15,0,15,0,0,0,0
-47,80,81,84,15,-4.2,0,-15,0,15,0,0,0,0
-40,79,81,83.25,15,-4.05,0,-15,0,15,0,0,0,0
-35,79,81,82.65,15,-3.9,0,-15,0,15,0,0,0,0
-29,78,81,82.05,15,-3.6,0,-15,0,15,0,0,0,0
-30,81,80,81.45,15,-3.3,0,-15,0,15,0,0,0,0
-26,80,80,80.85,15,-3,0,-15,0,15,0,0,0,0
-20,79,80,80.4,15,-2.7,0,-15,0,15,0,0,0,0
-14,78,80,79.8,15,-2.4,0,-15,0,15,0,0,0,0
-7,76,80,79.05,15,-2.1,0,-15,0,15,0,0,0,0
-1,75,80,78.45,15,-1.8,0,-15,0,15,0,0,0,0
5,74,80,77.7,15,-1.5,0,-15,0,15,0,0,0,0
13,73,80,76.95,15,-1.35,0,-15,0,15,0,0,0,0
20,77,80,76.2,15,-1.2,0,-15,0,15,0,0,0,0
28,75,80,75.45,15,-0.9,0,-15,0,15,0,0,0,0
36,74,80,74.55,15,-0.6,0,-15,0,15,0,0,0,0
44,73,80,73.95,15,-0.3,0,-15,0,15,0,0,0,0
52,72,80,73.2,15,-0.15,0,-15,0,15,0,0,0,0
58,71,80,72.45,15,0,0,-15,0,15,0,0,0,0
67,71,80,71.85,15,0.15,0,-15,0,15,0,0,0,0
72,70,80,71.4,15,0.3,0,-15,0,15,0,0,0,0
79,69,80,70.8,15,0.45,0,-15,0,15,0,0,0,0
86,69,80,70.2,15,0.45,0,-15,0,15,0,0,0,0
92,69,80,69.75,15,0.45,0,-15,0,15,0,0,0,0
98,72,80,69.3,15,0.45,0,-15,0,15,0,0,0,0
